0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
17023592,GGHB,170218.0,2017-02-18 07:43:00,1125-Traffic Hazard,Sr4 W / San Marco Blvd N Onr,Contra Costa,,,38.023255,-121.966585,4.0,13.0,,4.0,W,R18.709,18.391,,483.0
17034411,GGHB,170223.0,2017-02-23 08:57:00,1179-Trfc Collision-1141 Enrt,Sr4 W / Bailey Rd N Ofr,Contra Costa,,,38.019101,-121.937152,4.0,13.0,,4.0,W,R20.379,20.036,,380.0
18382335,GGHB,181128.0,2018-11-28 08:13:00,1183-Trfc Collision-Unkn Inj,I680 S / Treat Blvd Ofr,Contra Costa FSP,,,37.932715,-122.060323,4.0,13.0,83346.0,680.0,S,16.797,48.324,,58.0
18382336,GGHB,181128.0,2018-11-28 08:12:00,1183-Trfc Collision-Unkn Inj,I680 S / Treat Blvd Ofr,Contra Costa,,,37.932715,-122.060323,4.0,13.0,83346.0,680.0,S,16.797,48.324,,93.0
18385177,GGHB,181129.0,2018-11-29 08:22:00,1125-Traffic Hazard,I80 W / The Embarcadero Uc,San Francisco,,,37.789244,-122.387619,4.0,75.0,67000.0,80.0,W,5.94,2.4,,87.0
17503068,GGHB,171003.0,2017-10-03 07:55:00,1179-Trfc Collision-1141 Enrt,I580 W / 14th Ave Ofr,Oakland,,,37.800109,-122.224708,4.0,1.0,53000.0,580.0,W,R42.122,58.2,,159.0
17505279,GGHB,171004.0,2017-10-04 08:01:00,1179-Trfc Collision-1141 Enrt,Sr4 W / Harbor St Ofr,Contra Costa,,,38.013977,-121.876289,4.0,13.0,57456.0,4.0,W,23.753,23.37,,349.0
17505321,GGHB,171004.0,2017-10-04 08:18:00,1179-Trfc Collision-1141 Enrt,I680 S / I680 S Monument Blvd Onr,Contra Costa,,,37.941058,-122.060183,4.0,13.0,57764.0,680.0,S,R17.358,48.913,,70.0
17505377,GGHB,171004.0,2017-10-04 08:36:00,1179-Trfc Collision-1141 Enrt,I680 S / I680 S Monument Blvd Onr,Contra Costa FSP,,,37.941058,-122.060183,4.0,13.0,57764.0,680.0,S,R17.358,48.913,,39.0
17509958,GGHB,171006.0,2017-10-06 08:45:00,1182-Trfc Collision-No Inj,I880 N / 5th Ave Ofr,Oakland,,,37.789339,-122.254281,4.0,1.0,53000.0,880.0,N,30.273,40.5,,34.0
17518628,GGHB,171010.0,2017-10-10 07:55:00,1182-Trfc Collision-No Inj,Sr242 S I680 S Con / Gregory Ln Ofr,Contra Costa,,,37.956956,-122.053305,4.0,13.0,16000.0,242.0,S,L0.2,0.2,,31.0
17536014,GGHB,171018.0,2017-10-18 07:09:00,1183-Trfc Collision-Unkn Inj,US101 S / CESAR CHAVEZ ST OFR,San Francisco FSP,,,37.752501,-122.402997,4.0,75.0,67000.0,101.0,S,3.269,431.6,,121.0
17556448,GGHB,171027.0,2017-10-27 07:54:00,1179-Trfc Collision-1141 Enrt,I80 W / Gilman St Ofr,Oakland,,,37.881911,-122.308246,4.0,1.0,6000.0,80.0,W,6.79,12.1,,68.0
16607844,GGHB,160808.0,2016-08-08 08:26:00,CFIRE-Car Fire,I680 S / N MAIN ST OFR,Contra Costa,,,37.920636,-122.062281,4.0,13.0,83346.0,680.0,S,16.002,47.508,,58.0
16614112,GGHB,160811.0,2016-08-11 07:24:00,1125-Traffic Hazard,I580 W,Castro Valley,,,37.693936,-122.049284,4.0,1.0,,580.0,W,R28.168,44.2,,55.0
16627287,GGHB,160817.0,2016-08-17 08:43:00,1183-Trfc Collision-Unkn Inj,Sr4 W / Railroad Ave Onr,Contra Costa,,,38.018567,-121.895066,4.0,13.0,,4.0,W,22.743,22.348,,45.0
16642150,GGHB,160824.0,2016-08-24 08:49:00,1179-Trfc Collision-1141 Enrt,Sr24 W / Acalanes Rd Ofr,Contra Costa FSP,,,37.891793,-122.151758,4.0,13.0,39122.0,24.0,W,R4.552,8.9,,36.0
16362318,GGHB,160412.0,2016-04-12 08:07:00,1183-Trfc Collision-Unkn Inj,I880 N / I980,Oakland,,,37.799045,-122.276034,4.0,1.0,53000.0,880.0,N,31.673,41.9,,192.0
16374426,GGHB,160418.0,2016-04-18 08:59:00,1183-Trfc Collision-Unkn Inj,I880 N / 7th St Ofr,Oakland,,,37.803888,-122.301972,4.0,1.0,53000.0,880.0,N,R33.173,43.4,,88.0
15575430,GGHB,150303.0,2015-03-03 07:54:00,1182-Trfc Collision-No Inj,I880 N / I880 N Coliseum Wy Onr,Oakland,,,37.771819,-122.223728,4.0,1.0,53000.0,880.0,N,,38.3,,52.0
16062103,GGHB,151103.0,2015-11-03 08:34:00,1183-Trfc Collision-Unkn Inj,I80 W / Gilman St Ofr,Oakland,,,37.881911,-122.308246,4.0,1.0,6000.0,80.0,W,,12.1,,356.0
16064208,GGHB,151104.0,2015-11-04 08:11:00,1183-Trfc Collision-Unkn Inj,Sr24 W / Broadway Onr,Oakland,,,37.84725,-122.246,4.0,1.0,53000.0,24.0,W,,2.2,,48.0
16088911,GGHB,151116.0,2015-11-16 08:12:00,1125-Traffic Hazard,I580 W / I580 W Sr24 E Con,Oakland,,,37.823444,-122.263892,4.0,1.0,53000.0,580.0,W,,61.0,,61.0
16093149,GGHB,151118.0,2015-11-18 08:28:00,1125-Traffic Hazard,I80 W / Sfobb Toll Plaza Ofr,Oakland,,,37.825388,-122.304799,4.0,1.0,53000.0,80.0,W,,7.8,,45.0
16103190,GGHB,151123.0,2015-11-23 08:29:00,1125-Traffic Hazard,I680 S / N Main St Ofr,Contra Costa,,,37.920636,-122.062281,4.0,13.0,83346.0,680.0,S,,47.508,,45.0
16107630,GGHB,151125.0,2015-11-25 08:04:00,1183-Trfc Collision-Unkn Inj,I880 N / DAVIS ST OFR,Hayward,,,37.715206,-122.172632,4.0,1.0,68084.0,880.0,N,,33.5,,49.0
18079164,GGHB,180710.0,2018-07-10 07:45:00,1182-Trfc Collision-No Inj,Sr24 W / Pleasant Hill Rd Ofr,Contra Costa,,,37.898073,-122.09004,4.0,13.0,39122.0,24.0,W,R8.052,12.4,,53.0
18094652,GGHB,180717.0,2018-07-17 08:40:00,1183-Trfc Collision-Unkn Inj,I680 S / Sr242 S I680 S Con,Contra Costa,,,37.953265,-122.05476,4.0,13.0,57764.0,680.0,S,R18.268,49.822,,68.0
17238187,GGHB,170602.0,2017-06-02 07:38:00,1183-Trfc Collision-Unkn Inj,I80 W / I80 W Sr13 S Con,Oakland,,,37.852533,-122.29986,4.0,1.0,6000.0,80.0,W,4.79,10.1,,75.0
17246704,GGHB,170606.0,2017-06-06 08:23:00,1183-Trfc Collision-Unkn Inj,I580 W / I580 W Sr13 N Con,Oakland,,,37.780935,-122.173268,4.0,1.0,53000.0,580.0,W,R39.086,55.0,,53.0
